Name EN,Name CN,text,Cluster
Kabuki Ittouryoudan (Japan) (FAAT),一刀凉谈,Kabuki Ittouryoudan (Japan) (FAAT) 一刀凉谈,3
Asuka 120Maxima - Burning Fest. Maxima (Japan),鸟 120% - 燃烧的学园祭,Asuka 120Maxima - Burning Fest. Maxima (Japan) 鸟 120% - 燃烧的学园祭,2
Kakutou Haou Densetsu - Algunos (Japan),格斗霸王传说,Kakutou Haou Densetsu - Algunos (Japan) 格斗霸王传说,2
Steam-Heart's (Japan),蒸汽之心,Steam-Heart's (Japan) 蒸汽之心,2
ROM^2 Karaoke Volume 4 (Japan),ROM²卡拉OK 4,ROM^2 Karaoke Volume 4 (Japan) ROM²卡拉OK 4,1
Virgin Dream (Japan),处女梦,Virgin Dream (Japan) 处女梦,2
Seiya Monogatari - Anearth Fantasy Stories (Japan) (Demo),圣夜物语,Seiya Monogatari - Anearth Fantasy Stories (Japan) (Demo) 圣夜物语,2
PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc A),,PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc A) ,1
PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc B),,PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc B) ,1
Hellfire S - The Another Story (Japan),地狱火 S,Hellfire S - The Another Story (Japan) 地狱火 S,2
Vasteel (USA),瓦钢,Vasteel (USA) 瓦钢,2
Exile - Wicked Phenomenon (USA),流放 - 邪念的事象,Exile - Wicked Phenomenon (USA) 流放 - 邪念的事象,2
Mad Stalker - Full Metal Force (Japan),疯狂潜入者 - 金属力量,Mad Stalker - Full Metal Force (Japan) 疯狂潜入者 - 金属力量,2
Final Zone II (USA),最终战区 2,Final Zone II (USA) 最终战区 2,2
"Chou Aniki (Japan) (FAAT, FACT)",超兄贵,"Chou Aniki (Japan) (FAAT, FACT) 超兄贵",3
Exile (USA),流放,Exile (USA) 流放,2
Valis III (USA),梦幻战士 3,Valis III (USA) 梦幻战士 3,2
Valis II (USA),梦幻战士 2,Valis II (USA) 梦幻战士 2,2
Cosmic Fantasy 2 (USA),宇宙幻想 2,Cosmic Fantasy 2 (USA) 宇宙幻想 2,2
Monster Lair (USA),神奇男孩,Monster Lair (USA) 神奇男孩,2
"Mysterious Song (USA) (En,Fr,Es) (Unl) (Rerelease)",神秘的歌曲,"Mysterious Song (USA) (En,Fr,Es) (Unl) (Rerelease) 神秘的歌曲",0
"Addams Family, The (USA)",亚当斯一家,"Addams Family, The (USA) 亚当斯一家",2
Magical Dinosaur Tour (USA),神奇恐龙之旅,Magical Dinosaur Tour (USA) 神奇恐龙之旅,2
Fighting Street (USA),快打旋风,Fighting Street (USA) 快打旋风,2
Bazar de Gozarre no Game de Gozarre (Japan),在观众席上的游戏中登场,Bazar de Gozarre no Game de Gozarre (Japan) 在观众席上的游戏中登场,2
Ginga Fukei Densetsu Sapphire (Japan),银河妇警传说,Ginga Fukei Densetsu Sapphire (Japan) 银河妇警传说,2
Doraemon - Nobita no Dorabian Night (Japan),哆啦A梦 - 大雄的天方夜谭,Doraemon - Nobita no Dorabian Night (Japan) 哆啦A梦 - 大雄的天方夜谭,2
Develo - Starter Kit - Assembler-hen (Japan),Develo 初学者 - 汇编篇,Develo - Starter Kit - Assembler-hen (Japan) Develo 初学者 - 汇编篇,2
Develo - Starter Kit - BASIC-hen (Japan),Develo 初学者 - BASIC篇,Develo - Starter Kit - BASIC-hen (Japan) Develo 初学者 - BASIC篇,2
Beyond Shadowgate (USA),暗影之门,Beyond Shadowgate (USA) 暗影之门,2
Bonk III - Bonk's Big Adventure (USA),PC原人 3 - 邦克的大冒险,Bonk III - Bonk's Big Adventure (USA) PC原人 3 - 邦克的大冒险,2
Camp California (USA),加州营地,Camp California (USA) 加州营地,2
"Forgotten Worlds (USA) (En,Ja)",失落的世界,"Forgotten Worlds (USA) (En,Ja) 失落的世界",2
Godzilla (USA),哥斯拉,Godzilla (USA) 哥斯拉,2
It Came from the Desert (USA),沙丘魔蚁,It Came from the Desert (USA) 沙丘魔蚁,2
"J. B. Harold Murder Club (USA) (En,Ja)",刑事J.B.哈罗德 - 杀人俱乐部,"J. B. Harold Murder Club (USA) (En,Ja) 刑事J.B.哈罗德 - 杀人俱乐部",2
Jack Nicklaus Turbo Golf (USA),杰克尼可拉斯高尔夫,Jack Nicklaus Turbo Golf (USA) 杰克尼可拉斯高尔夫,2
John Madden Duo CD Football (USA) (RE),约翰·马登足球,John Madden Duo CD Football (USA) (RE) 约翰·马登足球,2
Last Alert (USA),最后警戒,Last Alert (USA) 最后警戒,2
Loom (USA),织布机,Loom (USA) 织布机,2
Lords of the Rising Sun (USA),旭日东升,Lords of the Rising Sun (USA) 旭日东升,2
Might and Magic III - Isles of Terra (USA),魔法门 3 - 幻岛历险记,Might and Magic III - Isles of Terra (USA) 魔法门 3 - 幻岛历险记,2
Prince of Persia (USA),波斯王子,Prince of Persia (USA) 波斯王子,2
Riot Zone (USA),暴乱区,Riot Zone (USA) 暴乱区,2
Shadow of the Beast (USA),暗影野兽,Shadow of the Beast (USA) 暗影野兽,2
Shape Shifter (USA),变形人,Shape Shifter (USA) 变形人,2
Sherlock Holmes - Consulting Detective (USA),夏洛克福尔摩斯 - 侦探课程,Sherlock Holmes - Consulting Detective (USA) 夏洛克福尔摩斯 - 侦探课程,2
Sherlock Holmes - Consulting Detective - Vol. II (USA),夏洛克福尔摩斯 - 侦探课程 2,Sherlock Holmes - Consulting Detective - Vol. II (USA) 夏洛克福尔摩斯 - 侦探课程 2,2
SimEarth - The Living Planet (USA),模拟地球,SimEarth - The Living Planet (USA) 模拟地球,2
Super Air Zonk - Rockabilly-Paradise (USA),超级空中地带 - 摇滚天堂,Super Air Zonk - Rockabilly-Paradise (USA) 超级空中地带 - 摇滚天堂,2
SydMead's TerraForming (USA),赛得·米德 仿地成形,SydMead's TerraForming (USA) 赛得·米德 仿地成形,2
"Dynastic Hero, The (USA)",超英雄伝说 - 王朝的英雄,"Dynastic Hero, The (USA) 超英雄伝说 - 王朝的英雄",2
"Local Girls of Hawaii, The (USA) (Unl)",夏威夷本地女孩,"Local Girls of Hawaii, The (USA) (Unl) 夏威夷本地女孩",0
Summer Carnival '92 - Alzadick (Japan),夏夜狂欢 92,Summer Carnival '92 - Alzadick (Japan) 夏夜狂欢 92,2
Hyper Dyne - SideArms Special (Japan),绝对合体,Hyper Dyne - SideArms Special (Japan) 绝对合体,2
Hyper Dyne - SideArms Special (Japan) (Alt),绝对合体,Hyper Dyne - SideArms Special (Japan) (Alt) 绝对合体,2
Mad Stalker - Full Metal Force (Japan) (Demo),疯狂潜入者 - 金属力量,Mad Stalker - Full Metal Force (Japan) (Demo) 疯狂潜入者 - 金属力量,2
Galaxy Deka Gayvan (Japan),银河刑警 Gayvan,Galaxy Deka Gayvan (Japan) 银河刑警 Gayvan,2
Tenchi o Kurau (Japan),吞食天地,Tenchi o Kurau (Japan) 吞食天地,2
Implode (USA) (Unl),内爆,Implode (USA) (Unl) 内爆,0
Meteor Blaster DX (USA) (Unl),流星爆破者 DX,Meteor Blaster DX (USA) (Unl) 流星爆破者 DX,0
Meteor Blaster DX (USA) (Unl) (Rerelease),流星爆破者 DX,Meteor Blaster DX (USA) (Unl) (Rerelease) 流星爆破者 DX,0
Hypernova Blast (USA) (Unl),超新星爆发,Hypernova Blast (USA) (Unl) 超新星爆发,0
3x3 Eyes - Sanjiyan Henjou (Japan) (Rev 1),三只眼 - 三只眼变成,3x3 Eyes - Sanjiyan Henjou (Japan) (Rev 1) 三只眼 - 三只眼变成,4
Dragon Knight & Graffiti (Japan),龙骑士,Dragon Knight & Graffiti (Japan) 龙骑士,2
Hawiian Island Girls (USA) (Unl),夏威夷岛的女孩们,Hawiian Island Girls (USA) (Unl) 夏威夷岛的女孩们,0
"TV Show, The (Japan)",电视表演秀,"TV Show, The (Japan) 电视表演秀",2
PopfulMail (Japan) (Demo),美少女剑士梅尔,PopfulMail (Japan) (Demo) 美少女剑士梅尔,2
ROM^2 Karaoke Volume 1 (Japan),ROM²卡拉OK 1,ROM^2 Karaoke Volume 1 (Japan) ROM²卡拉OK 1,1
Strider Hiryuu (Japan),出击飞龙,Strider Hiryuu (Japan) 出击飞龙,2
Laser Soft Visual Collection Vol. 2 - Valis Visual-shuu (Japan),梦幻战士视觉集,Laser Soft Visual Collection Vol. 2 - Valis Visual-shuu (Japan) 梦幻战士视觉集,2
Spriggan Mark 2 - Re Terraform Project (Japan),精灵战士 Mark2,Spriggan Mark 2 - Re Terraform Project (Japan) 精灵战士 Mark2,2
Downtown Nekketsu Monogatari (Japan),热血物语,Downtown Nekketsu Monogatari (Japan) 热血物语,2
Kaze Kiri - Ninja Action (Japan),风雾 - 忍者行动,Kaze Kiri - Ninja Action (Japan) 风雾 - 忍者行动,2
Renny Blaster (Japan),破魔法纹,Renny Blaster (Japan) 破魔法纹,2
ROM^2 Karaoke Volume 5 (Japan),ROM²卡拉OK 5,ROM^2 Karaoke Volume 5 (Japan) ROM²卡拉OK 5,1
Shougi Database Kiyuu (Japan),将棋数据库 棋友,Shougi Database Kiyuu (Japan) 将棋数据库 棋友,2
Linda^3 (Japan) (Rev 1),琳达三次方,Linda^3 (Japan) (Rev 1) 琳达三次方,4
Dead of the Brain 1&2 (Japan),脑死者 1 + 2,Dead of the Brain 1&2 (Japan) 脑死者 1 + 2,2
"Ryuuko no Ken (Japan) (En,Ja,Es) (FAAT)",龙虎之拳,"Ryuuko no Ken (Japan) (En,Ja,Es) (FAAT) 龙虎之拳",3
Baby Jo - The Super Hero (Japan),宝贝乔 - 超级英雄,Baby Jo - The Super Hero (Japan) 宝贝乔 - 超级英雄,2
Chou Eiyuu Densetsu - Dynastic Hero (Japan),超英雄伝说 - 王朝的英雄,Chou Eiyuu Densetsu - Dynastic Hero (Japan) 超英雄伝说 - 王朝的英雄,2
Daisenpuu Custom (Japan),大旋风,Daisenpuu Custom (Japan) 大旋风,2
Down Load 2 (Japan),下载 2,Down Load 2 (Japan) 下载 2,2
Hihou Densetsu - Chris no Bouken (Japan),秘宝伝说 - 克里斯的冒险,Hihou Densetsu - Chris no Bouken (Japan) 秘宝伝说 - 克里斯的冒险,2
Lemmings (Japan),疯狂小旅鼠,Lemmings (Japan) 疯狂小旅鼠,2
Mahjong Sword - Princess Quest Gaiden (Japan),麻将剑 - 公主任务外传,Mahjong Sword - Princess Quest Gaiden (Japan) 麻将剑 - 公主任务外传,2
Metamor Jupiter (Japan),木星穿梭机,Metamor Jupiter (Japan) 木星穿梭机,2
Mystic Formula (Japan),神秘配方,Mystic Formula (Japan) 神秘配方,2
PopfulMail (Japan),美少女剑士梅尔,PopfulMail (Japan) 美少女剑士梅尔,2
Rainbow Islands - The Story of Bubble Bobble 2 (Japan),彩虹岛 - 泡泡龙2的故事,Rainbow Islands - The Story of Bubble Bobble 2 (Japan) 彩虹岛 - 泡泡龙2的故事,2
Seisenshi Denshou - Jantaku no Kishi (Japan),圣战士传承 - 雀卓的骑士,Seisenshi Denshou - Jantaku no Kishi (Japan) 圣战士传承 - 雀卓的骑士,2
Seiya Monogatari - Anearth Fantasy Stories (Japan),圣夜物语,Seiya Monogatari - Anearth Fantasy Stories (Japan) 圣夜物语,2
Gain Ground SX (Japan),大地枪声 SX,Gain Ground SX (Japan) 大地枪声 SX,2
Slot Gambler (Japan),老虎机赌徒,Slot Gambler (Japan) 老虎机赌徒,2
Super Darius II (Japan),超级大流士 2,Super Darius II (Japan) 超级大流士 2,2
Super Raiden (Japan),超级雷电,Super Raiden (Japan) 超级雷电,2
TerraForming (Japan),仿地成形,TerraForming (Japan) 仿地成形,2
Travellers! Densetsu o Buttobase (Japan),旅行者！臀部的密度,Travellers! Densetsu o Buttobase (Japan) 旅行者！臀部的密度,2
Zero Wing (Japan),零翼战机,Zero Wing (Japan) 零翼战机,2
Bishoujo Janshi Idol Pai (Japan) (Unl),美少女雀士偶像派,Bishoujo Janshi Idol Pai (Japan) (Unl) 美少女雀士偶像派,0
CD Bishoujo Pachinko - Kyuuma Yon Shimai (Japan) (Unl),CD美少女柏青哥 - 球魔四姐妹,CD Bishoujo Pachinko - Kyuuma Yon Shimai (Japan) (Unl) CD美少女柏青哥 - 球魔四姐妹,0
Ys IV - The Dawn of Ys (Japan) (Rev 4),伊苏 4 - 伊苏国的黎明,Ys IV - The Dawn of Ys (Japan) (Rev 4) 伊苏 4 - 伊苏国的黎明,4
FX Unit Yuki - The Henshin Engine (USA) (Unl),FX Unit 雪,FX Unit Yuki - The Henshin Engine (USA) (Unl) FX Unit 雪,0
Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Demo) (SABS),饿狼传说 2 - 新的挑战者,Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Demo) (SABS) 饿狼传说 2 - 新的挑战者,3
Garou Densetsu Special (Japan) (Demo),饿狼传说 特别版,Garou Densetsu Special (Japan) (Demo) 饿狼传说 特别版,3
World Heroes 2 (Japan) (Demo) (SACS),世界英雄 2,World Heroes 2 (Japan) (Demo) (SACS) 世界英雄 2,2
Super-CD-Demo^2 (Japan),,Super-CD-Demo^2 (Japan) ,2
Henshin Engine (USA) (Demo) (Unl),变身动机,Henshin Engine (USA) (Demo) (Unl) 变身动机,0
Insanity (USA) (Unl),精神失常,Insanity (USA) (Unl) 精神失常,0
Psychic Detective Series Vol. 3 - Aya (Japan) (Demo),通灵侦探系列第三卷 - 阿雅,Psychic Detective Series Vol. 3 - Aya (Japan) (Demo) 通灵侦探系列第三卷 - 阿雅,2
Bishoujo Senshi Sailor Moon Collection (Japan) (Demo),美少女战士合集,Bishoujo Senshi Sailor Moon Collection (Japan) (Demo) 美少女战士合集,0
Laplace no Ma (Japan) (Demo),拉普拉斯之魔,Laplace no Ma (Japan) (Demo) 拉普拉斯之魔,2
Hi-Leg Fantasy (Japan) (Unl),,Hi-Leg Fantasy (Japan) (Unl) ,0
J-Thunder - Tsumetai Hada wa Shoujo o Nurasu (Japan) (Unl),,J-Thunder - Tsumetai Hada wa Shoujo o Nurasu (Japan) (Unl) ,0
Shiawase Usagi - Nureta Bishoujo - Hajimete Nanoni... (Japan) (Unl),,Shiawase Usagi - Nureta Bishoujo - Hajimete Nanoni... (Japan) (Unl) ,0
Shiawase Usagi II - Toraware Usagi Sailor Z (Japan) (Unl),,Shiawase Usagi II - Toraware Usagi Sailor Z (Japan) (Unl) ,0
Shinsetsu Shiawase Usagi (Japan) (Unl),,Shinsetsu Shiawase Usagi (Japan) (Unl) ,0
Kabuki Ittouryoudan (Japan) (FABT),一刀凉谈,Kabuki Ittouryoudan (Japan) (FABT) 一刀凉谈,3
Kisou Louga (Japan) (Demo),机装露加,Kisou Louga (Japan) (Demo) 机装露加,2
Ginga Ojousama Densetsu Yuna (Japan) (Demo),银河大小姐传说,Ginga Ojousama Densetsu Yuna (Japan) (Demo) 银河大小姐传说,3
Shinsetsu Shiawase Usagi f - Yuujou yorimo Aiyoku (Japan) (Unl),,Shinsetsu Shiawase Usagi f - Yuujou yorimo Aiyoku (Japan) (Unl) ,0
Bikini Girls (USA) (Unl),比基尼女孩,Bikini Girls (USA) (Unl) 比基尼女孩,0
Burai II - Yami Koutei no Gyakushuu (Japan) (Demo),Burai2 - 闇皇帝的逆袭,Burai II - Yami Koutei no Gyakushuu (Japan) (Demo) Burai2 - 闇皇帝的逆袭,2
Jessie Jaeger in Cleopatra's Curse (World) (Unl),,Jessie Jaeger in Cleopatra's Curse (World) (Unl) ,0
Ys Book I & II (USA) (Alt),伊苏 1 + 2,Ys Book I & II (USA) (Alt) 伊苏 1 + 2,2
Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan),,Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan) ,2
Kid's Station Vol. 2 - Atchi Kotchi Dotchi (Japan),,Kid's Station Vol. 2 - Atchi Kotchi Dotchi (Japan) ,2
Dungeon Master - Theron's Quest (USA) (RE),地牢大师 - 塞隆之旅,Dungeon Master - Theron's Quest (USA) (RE) 地牢大师 - 塞隆之旅,2
Jim Power in Mutant Planet (USA) (Unl),吉姆力量在异变星球,Jim Power in Mutant Planet (USA) (Unl) 吉姆力量在异变星球,0
FX Unit Yuki - The Henshin Engine (USA) (Unl) (Demo),FX Unit 雪,FX Unit Yuki - The Henshin Engine (USA) (Unl) (Demo) FX Unit 雪,0
Legion (Japan) (Rev 4) (Alt),空中军团,Legion (Japan) (Rev 4) (Alt) 空中军团,4
Meteor Blaster DX (USA) (Unl) (Alt),流星爆破者 DX,Meteor Blaster DX (USA) (Unl) (Alt) 流星爆破者 DX,0
Shin Megami Tensei (Japan) (Rev 2),真女神转生,Shin Megami Tensei (Japan) (Rev 2) 真女神转生,4
